espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
5106775,2023,A'lahn Sumler,KEEP (bbref=Northern Kentucky),31862,Northern Kentucky,,
5106775,2023,A'lahn Sumler,DELETE (phantom),12619,Charleston Southern,31862,Northern Kentucky
4067017,2020,A.J. Lawson,KEEP (bbref=South Carolina),94193,South Carolina,,
4067017,2020,A.J. Lawson,DELETE (phantom),92832,McNeese,94193,South Carolina
4067017,2021,A.J. Lawson,KEEP (bbref=McNeese),97578,McNeese,,
4067017,2021,A.J. Lawson,DELETE (phantom),99007,South Carolina,97578,McNeese
4897671,2022,A.J. Neal Jr.,KEEP (bbref=Long Beach State),37165,Long Beach State,,
4897671,2022,A.J. Neal Jr.,DELETE (phantom),12609,Long Island University,37165,Long Beach State
4897671,2024,A.J. Neal Jr.,KEEP (bbref=Chicago State),45515,Chicago State,,
4897671,2024,A.J. Neal Jr.,DELETE (phantom),12611,Long Island University,45515,Chicago State
5176061,2025,A.J. Wills,UNRESOLVED (no bbref row),12617,Hofstra,,
5176061,2025,A.J. Wills,UNRESOLVED (no bbref row),54264,Wyoming,,
5177521,2024,AC Bryant,UNRESOLVED (no bbref row),44889,Alabama A&M,,
5177521,2024,AC Bryant,UNRESOLVED (no bbref row),12677,Jacksonville State,,
5177521,2025,AC Bryant,KEEP (bbref=Alabama A&M),49515,Alabama A&M,,
5177521,2025,AC Bryant,DELETE (phantom),12678,Jacksonville State,49515,Alabama A&M
5108014,2023,AJ Brown,KEEP (bbref=Ohio),31923,Ohio,,
5108014,2023,AJ Brown,DELETE (phantom),12848,Florida,31923,Ohio
5108014,2024,AJ Brown,KEEP (bbref=Ohio),47589,Ohio,,
5108014,2024,AJ Brown,DELETE (phantom),12849,Florida,47589,Ohio
4433286,2023,AJ Casey,KEEP (bbref=Miami (FL)),31319,Miami (FL),,
4433286,2023,AJ Casey,DELETE (phantom),12851,Evansville,31319,Miami (FL)
4433286,2024,AJ Casey,UNRESOLVED (no bbref row),12852,Evansville,,
4433286,2024,AJ Casey,UNRESOLVED (no bbref row),46953,Miami (FL),,
4433286,2025,AJ Casey,KEEP (bbref=Saint Louis),52914,Saint Louis,,
4433286,2025,AJ Casey,DELETE (phantom),12853,Evansville,52914,Saint Louis
5177247,2024,AJ Dancler,KEEP (bbref=Le Moyne),46566,Le Moyne,,
5177247,2024,AJ Dancler,DELETE (phantom),12858,Coastal Carolina,46566,Le Moyne
5177247,2025,AJ Dancler,KEEP (bbref=Le Moyne),51384,Le Moyne,,
5177247,2025,AJ Dancler,DELETE (phantom),12859,Coastal Carolina,51384,Le Moyne
4897668,2023,AJ George,KEEP (bbref=Long Beach State),31028,Long Beach State,,
4897668,2023,AJ George,DELETE (phantom),12866,Cal State Bakersfield,31028,Long Beach State
4897668,2024,AJ George,KEEP (bbref=Long Beach State),46631,Long Beach State,,
4897668,2024,AJ George,DELETE (phantom),12867,Cal State Bakersfield,46631,Long Beach State
