name,team,position,tdc_grade,grade_num,ppg,rpg,apg,mpg
Ace Buckner,Clemson,PG,82,82,8.3,2.9,1.8,19.5
Cole Certa,Clemson,SG,84,84,12.8,1.7,0.8,26.8
Liutauras Lelevicius,Clemson,SF,81,81,8.0,3.4,0.7,23.7
David Fuchs,Clemson,PF,84,84,12.7,7.8,1.4,24.0
Carter Welling,Clemson,C,83,83,10.2,5.4,1.1,20.8
Zac Foster,Clemson,SG,82,82,6.9,2.8,2.5,18.6
Dylan Faulkner,Clemson,PF,82,82,17.2,8.6,1.8,26.1
Chase Thompson,Clemson,PF,75,75,2.3,1.1,0.3,9.0
Dallas Thomas,Clemson,PF,73,73,2.2,0.4,0.1,4.4
Trent Steinour,Clemson,PF,72,72,1.0,1.2,0.0,2.5
Harris Reynolds,Clemson,SG,74,74,,,,
Will Stevens,Clemson,C,71,71,,,,
Amaer James,Clemson,SG,66,66,,,,
Blake Davidson,Clemson,PF,60,60,,,,
Acaden Lewis,Miami,PG,87,87,12.2,3.0,5.3,30.5
Nick Dorn,Miami,SG,79,79,8.1,2.3,0.3,23.2
Shelton Henderson,Miami,SF,85,85,13.8,4.9,2.1,31.2
DeSean Goode,Miami,PF,82,82,15.2,8.7,1.4,30.9
Somoto Cyril,Miami,C,91,91,9.3,5.4,0.6,21.2
Dante Allen,Miami,SG,77,77,6.6,2.8,2.2,23.9
Brent Bland,Miami,SG,76,76,13.9,5.0,1.5,33.2
Caleb Gaskins,Miami,PF,75,75,,,,
Marcus Allen,Miami,SF,72,72,5.3,3.1,1.6,19.0
Quin Berger,Miami,PG,60,60,3.1,1.4,0.7,16.6
Chris Birden,Miami,PF,59,59,,,,
Cayden Boozer,Duke,PG,84,84,7.7,2.3,3.0,22.8
John Blackwell,Duke,SG,95,95,19.1,5.1,2.3,33.8
Dame Sarr,Duke,SF,89,89,6.4,3.8,1.1,23.5
Joaquim Boumtje Boumtje,Duke,PF,90,90,,,,
Patrick Ngongba,Duke,C,91,91,10.1,5.8,2.0,21.9
Cameron Williams,Duke,PF,89,89,,,,
Bryson Howard,Duke,SG,88,88,,,,
Caleb Foster,Duke,PG,84,84,8.3,3.5,2.8,24.8
Deron Rippey Jr.,Duke,PG,83,83,,,,
Drew Scharniwski,Duke,PF,83,83,10.7,6.0,2.6,21.8
Maxime Meyer,Duke,C,77,77,,,,
